,MP,OC,SC,SP,SPC,background,background
MP,31.0,0.0,0.0,0.0,0.0,8.0
OC,0.0,40.0,0.0,0.0,0.0,3.0
SC,0.0,0.0,30.0,0.0,0.0,13.0
SP,0.0,0.0,2.0,34.0,0.0,9.0
SPC,0.0,0.0,0.0,0.0,37.0,6.0
background,6.0,2.0,1.0,1.0,3.0,0.0
